PET-labels (5类),precision,recall,f1-score,support
高度异常摄取,29.62,30.59,30.10,608
轻度/可疑异常摄取,1.03,1.02,1.03,98
生理性/背景摄取,84.97,46.82,60.37,314
摄取缺损/减低,2.04,5.26,2.94,57
正常,73.58,74.66,74.12,2163
accuracy,,,0.6025,3240
macro avg,38.25,31.67,33.71,3240
weighted avg,62.98,60.25,61.06,3240

"CT-labels (8类, 已重映射)",precision,recall,f1-score,support
淋巴结肿大,47.42,39.32,42.99,351
局灶性病变,12.50,23.11,16.23,212
肺实质异常,12.68,47.37,20.00,19
壁/膜增厚,7.14,11.86,8.92,59
钙化,1.04,4.76,1.71,21
骨骼病变,42.86,16.33,23.65,147
其他异常,4.67,13.89,6.99,144
正常,71.02,56.14,62.71,2287
accuracy,,,0.4728,3240
macro avg,24.92,26.60,22.90,3240
weighted avg,58.45,47.28,51.66,3240
